City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
247,Norman Wells,CA,65.28,-126.83,48.2,76,75,11.41,broken clouds
248,Kandrian,PG,-6.22,149.55,75.72,86,100,6.17,overcast clouds
249,Tomatlan,MX,19.93,-105.25,85.48,68,100,6.26,overcast clouds
250,Nuevo Progreso,MX,23.17,-97.95,91.0,57,62,4.0,broken clouds
251,Mexico,PH,15.06,120.72,84.99,88,75,2.24,broken clouds
252,Karpathos,GR,35.51,27.21,77.0,83,20,18.34,few clouds
253,Ploemeur,FR,47.73,-3.43,66.0,63,40,10.29,scattered clouds
254,Elizabeth City,US,36.29,-76.25,93.99,63,1,9.17,clear sky
255,Flinders,AU,-34.58,150.86,50.0,78,0,1.01,clear sky
256,Port Hedland,AU,-20.32,118.57,64.4,72,10,3.36,clear sky
257,Melfi,IT,41.0,15.65,84.2,62,20,14.99,few clouds
258,Ostrovnoy,RU,68.05,39.51,44.38,77,78,3.8,broken clouds
259,San Vicente,AR,-26.62,-54.13,86.04,32,0,6.2,clear sky
260,Broome,US,42.25,-75.83,75.99,68,40,6.93,scattered clouds
261,Muzhi,RU,65.37,64.67,52.32,75,99,13.87,overcast clouds
262,Ust-Kut,RU,56.79,105.77,57.4,91,100,1.14,overcast clouds
263,Batagay,RU,67.63,134.63,40.06,70,31,1.14,scattered clouds
264,Benjamin Hill,MX,30.17,-111.1,95.0,40,5,5.99,clear sky
265,Severo-Kurilsk,RU,50.68,156.12,49.23,81,79,7.23,broken clouds
266,Kijang,KR,35.24,129.21,78.8,88,75,8.05,light rain
267,Saint Pete Beach,US,27.73,-82.74,93.99,62,20,9.17,few clouds
268,Gornopravdinsk,RU,60.05,69.9,55.9,91,49,4.79,scattered clouds
269,Le Port,RE,-20.94,55.29,73.4,64,90,8.05,overcast clouds
270,Galle,LK,6.04,80.22,81.28,79,37,11.39,scattered clouds
271,Teguldet,RU,57.31,88.17,51.01,94,1,3.36,clear sky
272,Manicore,BR,-5.81,-61.3,84.6,63,86,7.45,overcast clouds
273,Manono,CD,-7.3,27.42,77.7,61,14,7.16,light rain
274,Lardos,GR,36.09,28.02,82.4,69,0,13.87,clear sky
275,Verkhnyaya Inta,RU,65.98,60.31,51.21,79,72,7.23,broken clouds
276,Khasan,RU,42.43,130.64,71.46,96,49,4.0,scattered clouds
277,Beringovskiy,RU,63.05,179.32,49.91,86,90,10.56,light rain
278,Clonakilty,IE,51.62,-8.87,62.6,55,40,20.8,scattered clouds
279,Maumere,ID,-8.62,122.21,77.14,62,0,3.18,clear sky
280,Nizwa,OM,22.93,57.53,87.28,49,100,9.46,overcast clouds
281,Oranjemund,NA,-28.55,16.43,55.89,78,0,12.08,clear sky
282,Chapais,CA,49.78,-74.85,57.2,54,75,9.17,broken clouds
283,Tarabuco,BO,-19.17,-64.92,64.71,37,0,10.4,clear sky
284,Redmond,US,47.67,-122.12,66.0,74,0,3.27,clear sky
285,Rondonopolis,BR,-16.47,-54.64,105.26,7,48,5.55,scattered clouds
286,Karimpur,IN,23.97,88.62,79.66,88,96,7.02,overcast clouds
287,Valparaiso,CL,-33.04,-71.63,55.4,62,100,3.36,overcast clouds
288,San Andres,CO,12.58,-81.7,87.8,74,40,11.41,scattered clouds
289,Hovd,MN,48.01,91.64,53.01,66,100,2.44,overcast clouds
290,Oster,UA,50.95,30.88,63.0,77,55,4.47,broken clouds
291,Urucara,BR,-2.54,-57.76,95.94,39,90,1.36,overcast clouds
292,Sioni,GE,41.99,45.02,77.0,50,17,25.28,few clouds
293,Yulara,AU,-25.24,130.99,60.8,21,0,10.29,clear sky
294,Katsuura,JP,35.13,140.3,84.2,83,40,11.41,scattered clouds
295,Yar-Sale,RU,66.83,70.83,57.24,74,100,0.74,overcast clouds
296,Leningradskiy,RU,69.38,178.42,37.49,93,100,3.22,overcast clouds
297,Estelle,US,29.85,-90.11,93.0,79,75,18.34,broken clouds
298,Tonj,SS,7.27,28.68,74.23,89,98,1.07,light rain
299,Plaster Rock,CA,46.91,-67.39,68.0,34,75,8.05,broken clouds
300,Buckeye,US,33.37,-112.58,106.0,22,1,10.29,clear sky
301,Bar Harbor,US,44.39,-68.2,75.0,43,1,9.17,clear sky
302,Taft,IR,31.75,54.21,84.2,14,0,1.97,clear sky
303,Dukat,RU,62.55,155.55,36.75,90,66,5.44,broken clouds
304,Twentynine Palms,US,34.14,-116.05,96.01,12,1,0.25,clear sky
305,Sompeta,IN,18.93,84.6,81.43,84,60,9.78,broken clouds
306,Fairview,US,40.81,-74.0,87.01,54,20,8.81,few clouds
307,Sao Joao Da Barra,BR,-21.64,-41.05,78.8,61,40,20.8,scattered clouds
308,Nicolas Bravo,MX,18.45,-88.92,89.6,70,75,17.22,broken clouds
309,Benguela,AO,-12.58,13.41,71.6,78,75,4.7,broken clouds
310,Aquiraz,BR,-3.9,-38.39,84.2,62,20,21.92,few clouds
311,Mandalgarh,IN,25.2,75.1,79.36,81,100,9.33,overcast clouds
312,Requena,ES,39.49,-1.1,93.99,12,49,1.99,scattered clouds
313,Kankon,IN,15.02,74.02,80.6,88,75,11.41,broken clouds
314,College,US,64.86,-147.8,50.0,87,90,1.12,light rain
315,Ulladulla,AU,-35.35,150.47,48.2,70,0,11.41,clear sky
316,Mitu,CO,1.2,-70.17,91.15,48,19,1.88,few clouds
317,Umm Lajj,SA,25.02,37.27,85.14,61,0,3.71,clear sky
318,Kununurra,AU,-15.77,128.73,80.6,23,5,10.29,clear sky
319,Imbituba,BR,-28.24,-48.67,73.4,60,0,9.17,clear sky
320,Probota,RO,47.38,27.5,75.2,36,3,6.93,clear sky
321,Bathsheba,BB,13.22,-59.52,87.8,70,40,19.46,scattered clouds
322,Atherton,GB,53.52,-2.49,60.01,62,98,8.01,overcast clouds
323,Wanaka,NZ,-44.7,169.15,40.93,78,70,5.1,broken clouds
324,Yeppoon,AU,-23.13,150.73,59.0,67,0,8.05,clear sky
325,Awjilah,LY,29.11,21.29,87.75,28,0,7.0,clear sky
326,Anadyr,RU,64.75,177.48,46.4,93,75,4.47,broken clouds
327,Gat,IL,31.61,34.76,82.99,29,0,1.01,clear sky
328,Normandin,CA,48.83,-72.53,62.6,55,75,14.99,broken clouds
329,Xixiang,CN,35.16,112.86,74.88,78,0,3.76,light rain
330,Bani,DO,18.28,-70.33,91.99,63,40,11.41,scattered clouds
331,Kamsack,CA,51.57,-101.9,64.4,63,1,19.46,clear sky
332,Rivera,UY,-30.91,-55.55,71.2,85,100,6.62,overcast clouds
333,Bogale,MM,16.28,95.4,78.4,91,92,5.08,overcast clouds
334,Nanortalik,GL,60.14,-45.24,49.42,79,100,19.24,moderate rain
335,Talcahuano,CL,-36.72,-73.12,51.8,87,90,23.04,overcast clouds
336,Garchitorena,PH,13.88,123.69,81.48,82,100,5.97,overcast clouds
337,Turbat,PK,26.0,63.04,90.12,54,0,11.21,clear sky
338,Taoudenni,ML,22.68,-3.98,110.21,6,0,10.92,clear sky
339,Litovko,RU,49.24,135.17,56.39,71,40,14.7,scattered clouds
340,Antalaha,MG,-14.9,50.28,69.78,80,38,8.55,scattered clouds
341,Huilong,CN,31.81,121.66,82.99,99,100,1.99,light rain
342,Tautira,PF,-17.73,-149.15,73.4,78,20,4.7,few clouds
343,Belaya Gora,RU,68.53,146.42,42.48,87,97,5.37,overcast clouds
344,Dikson,RU,73.51,80.55,50.0,78,18,10.11,few clouds
345,Coihaique,CL,-45.58,-72.07,35.6,59,75,6.93,shower sleet
346,Matagami,CA,49.75,-77.63,57.2,58,90,5.14,overcast clouds
347,Joshimath,IN,30.57,79.57,64.18,56,58,1.48,broken clouds
